,21145172
+PNAME+PHONE+SSN+LOGIN_ID+ACCT_NUM,2949
+NAME+ADDRESS+SSN+DRLIC+LOGIN_ID,2947
+NAME+DOB+ADDRESS+SSN+PASSPORT+ACCT_NUM,2940
+NAME+DOB+ADDRESS+PHONE+SSN+LOGIN_ID+ACCT_NUM,2927
+NAME+ADDRESS+DRLIC+LOGIN_ID,2923
+PNAME+SSN+PASSPORT+ACCT_NUM,2919
+NAME+DOB+PHONE+LOGIN_ID+ACCT_NUM,2902
+PNAME+PHONE+DRLIC+PASSPORT,2884
+PNAME+PHONE+LOGIN_ID+ACCT_NUM,2840
+PNAME+DOB+PHONE+LOGIN_ID,2831
+PNAME+DOB+ADDRESS+SSN+PASSPORT,2831
+PNAME+DOB+PHONE+SSN+LOGIN_ID,2830
+NAME+SSN+DRLIC+LOGIN_ID,2744
+PNAME+DOB+PHONE+DRLIC+ACCT_NUM,2739
+NAME+DOB+PASSPORT+ACCT_NUM,2698
+NAME+ADDRESS+PHONE+DRLIC+LOGIN_ID+ACCT_NUM,2671
+NAME+DOB+PHONE+SSN+LOGIN_ID+ACCT_NUM,2650
+PNAME+DOB+PHONE+SSN+DRLIC+ACCT_NUM,2584
+PNAME+DOB+SSN+PASSPORT,2582
+PNAME+DOB+ADDRESS+PASSPORT,2555
+NAME+DOB+SSN+PASSPORT+ACCT_NUM,2553
+DOB+ADDRESS+PHONE+SSN+ACCT_NUM,2552
+NAME+DRLIC+LOGIN_ID,2551
+NAME+DOB+ADDRESS+PHONE+DRLIC+LOGIN_ID,2496
+PNAME+DOB+ADDRESS+PHONE+PASSPORT+ACCT_NUM,2366
+NAME+ADDRESS+SSN+PASSPORT+LOGIN_ID,2345
+DOB+ADDRESS+PHONE+SSN+DRLIC,2288
+PNAME+ADDRESS+PHONE+SSN+DRLIC+LOGIN_ID,2279
+PNAME+DOB+ADDRESS+PHONE+SSN+PASSPORT+ACCT_NUM,2273
+NAME+ADDRESS+PASSPORT+LOGIN_ID,2239
+NAME+ADDRESS+DRLIC+PASSPORT+ACCT_NUM,2191
+PNAME+DOB+DRLIC,2144
+NAME+ADDRESS+SSN+DRLIC+PASSPORT+ACCT_NUM,2139
+PNAME+ADDRESS+PHONE+DRLIC+LOGIN_ID,2135
+NAME+ADDRESS+PHONE+PASSPORT+LOGIN_ID+ACCT_NUM,2104
+PNAME+ADDRESS+SSN+DRLIC+PASSPORT,2099
+NAME+ADDRESS+PHONE+SSN+DRLIC+LOGIN_ID+ACCT_NUM,2098
+NAME+PHONE+DRLIC+LOGIN_ID+ACCT_NUM,2055
+NAME+DOB+ADDRESS+PHONE+SSN+DRLIC+LOGIN_ID,2044
+PNAME+PHONE+SSN+DRLIC+LOGIN_ID,2038
+SURNAME+DOB+ADDRESS+PHONE+SSN,2037
+NAME+SSN+PASSPORT+LOGIN_ID,2037
+NAME+DOB+ADDRESS+SSN+DRLIC+PASSPORT,2016
+PNAME+DOB+PHONE+SSN+PASSPORT+ACCT_NUM,2014
+NAME+PASSPORT+LOGIN_ID,2002
+NAME+DOB+PHONE+DRLIC+LOGIN_ID,1991
+PNAME+DOB+PHONE+PASSPORT+ACCT_NUM,1978
+PNAME+PHONE+DRLIC+LOGIN_ID,1974
+NAME+DOB+ADDRESS+DRLIC+PASSPORT,1971
+PNAME+DOB+PASSPORT,1933
+NAME+SSN+DRLIC+PASSPORT+ACCT_NUM,1904
+DOB+ADDRESS+PHONE+SSN+PASSPORT,1869
+PNAME+SSN+DRLIC+PASSPORT,1866
+NAME+DOB+DRLIC+PASSPORT,1861
+NAME+DOB+PHONE+SSN+DRLIC+LOGIN_ID,1860
+NAME+DOB+ADDRESS+PHONE+PASSPORT+LOGIN_ID,1855
+NAME+DOB+ADDRESS+PHONE+DRLIC+PASSPORT+ACCT_NUM,1854
+NAME+DOB+ADDRESS+LOGIN_ID+ACCT_NUM,1848
+DOB+ADDRESS+SSN,1819
+NAME+PHONE+SSN+DRLIC+LOGIN_ID+ACCT_NUM,1811
+NAME+DRLIC+PASSPORT+ACCT_NUM,1802
+NAME+DOB+ADDRESS+PHONE+SSN+DRLIC+PASSPORT+ACCT_NUM,1784
+PNAME+ADDRESS+SSN+LOGIN_ID+ACCT_NUM,1778
+PNAME+DOB+LOGIN_ID,1762
+PNAME+SSN+LOGIN_ID+ACCT_NUM,1758
+PNAME+DOB+ADDRESS+SSN+LOGIN_ID,1737
+PNAME+ADDRESS+DRLIC+PASSPORT,1730
+PNAME+DOB+ADDRESS+LOGIN_ID,1726
+PNAME+ADDRESS+PHONE+SSN+PASSPORT+LOGIN_ID,1719
+NAME+DOB+SSN+DRLIC+PASSPORT,1718
+NAME+DOB+ADDRESS+SSN+LOGIN_ID+ACCT_NUM,1711
+PNAME+ADDRESS+PHONE+SSN+DRLIC+PASSPORT+ACCT_NUM,1695
+PNAME+ADDRESS+LOGIN_ID+ACCT_NUM,1693
+PNAME+DOB+ADDRESS+PHONE+SSN+DRLIC+PASSPORT,1633
+NAME+ADDRESS+PHONE+SSN+PASSPORT+LOGIN_ID+ACCT_NUM,1632
+PNAME+ADDRESS+PHONE+DRLIC+PASSPORT+ACCT_NUM,1632
+PNAME+DOB+ADDRESS+SSN+DRLIC+ACCT_NUM,1625
+PNAME+ADDRESS+PHONE+PASSPORT+LOGIN_ID,1601
+PNAME+DOB+ADDRESS+PHONE+DRLIC+PASSPORT,1596
+NAME+DOB+LOGIN_ID+ACCT_NUM,1589
+PNAME+DOB+SSN+LOGIN_ID,1589
+NAME+PHONE+PASSPORT+LOGIN_ID+ACCT_NUM,1587
+PNAME+PHONE+SSN+PASSPORT+LOGIN_ID,1567
+NAME+DOB+ADDRESS+PHONE+SSN+PASSPORT+LOGIN_ID,1563
+PNAME+DOB+DRLIC+ACCT_NUM,1557
+DOB+PHONE+SSN+ACCT_NUM,1549
+PNAME+DOB+ADDRESS+DRLIC+ACCT_NUM,1539
+NAME+DOB+PHONE+PASSPORT+LOGIN_ID,1528
+NAME+DOB+SSN+LOGIN_ID+ACCT_NUM,1495
+NAME+PHONE+SSN+PASSPORT+LOGIN_ID+ACCT_NUM,1491
+NAME+DOB+PHONE+DRLIC+PASSPORT+ACCT_NUM,1484
+NAME+DOB+PHONE+SSN+PASSPORT+LOGIN_ID,1438
+PNAME+DOB+SSN+DRLIC+ACCT_NUM,1435
+PNAME+DOB+PHONE+DRLIC+PASSPORT,1425
+PNAME+PHONE+PASSPORT+LOGIN_ID,1424
+PNAME+PHONE+SSN+DRLIC+PASSPORT+ACCT_NUM,1423
+PNAME+DOB+ADDRESS+PHONE+SSN+LOGIN_ID+ACCT_NUM,1394
+PNAME+PHONE+DRLIC+PASSPORT+ACCT_NUM,1390
+NAME+ADDRESS+PHONE+DRLIC+PASSPORT+LOGIN_ID,1384
+DOB+PHONE+SSN+DRLIC,1381
+NAME+DOB+PHONE+SSN+DRLIC+PASSPORT+ACCT_NUM,1378
+PNAME+DOB+PHONE+SSN+DRLIC+PASSPORT,1329
+NAME+ADDRESS+DRLIC+LOGIN_ID+ACCT_NUM,1308
+PNAME+DOB+ADDRESS+PHONE+LOGIN_ID+ACCT_NUM,1300
+NAME+ADDRESS+SSN+DRLIC+LOGIN_ID+ACCT_NUM,1254
+PNAME+DOB+ADDRESS+PASSPORT+ACCT_NUM,1244
+NAME+DOB+ADDRESS+DRLIC+LOGIN_ID,1226
+PNAME+ADDRESS+SSN+DRLIC+LOGIN_ID,1223
+PNAME+DOB+ADDRESS+SSN+PASSPORT+ACCT_NUM,1213
+SURNAME+DOB+PHONE+SSN,1201
+PNAME+SSN+DRLIC+LOGIN_ID,1189
+PNAME+ADDRESS+DRLIC+LOGIN_ID,1183
+NAME+DOB+ADDRESS+SSN+DRLIC+LOGIN_ID,1176
+PNAME+DOB+PASSPORT+ACCT_NUM,1172
+PNAME+DOB+PHONE+LOGIN_ID+ACCT_NUM,1171
+NAME+ADDRESS+PHONE+SSN+DRLIC+PASSPORT+LOGIN_ID,1161
+NAME+SSN+DRLIC+LOGIN_ID+ACCT_NUM,1154
+DOB+ADDRESS+PHONE+SSN+DRLIC+ACCT_NUM,1140
+DOB+PHONE+SSN+PASSPORT,1122
+NAME+PHONE+DRLIC+PASSPORT+LOGIN_ID,1117
+PNAME+DOB+PHONE+SSN+LOGIN_ID+ACCT_NUM,1110
+PNAME+DOB+SSN+PASSPORT+ACCT_NUM,1104
+NAME+DOB+DRLIC+LOGIN_ID,1083
+NAME+DRLIC+LOGIN_ID+ACCT_NUM,1043
+NAME+DOB+SSN+DRLIC+LOGIN_ID,1022
+NAME+PHONE+SSN+DRLIC+PASSPORT+LOGIN_ID,1005
+NAME+DOB+ADDRESS+PHONE+DRLIC+LOGIN_ID+ACCT_NUM,999
+SURNAME+DOB+ADDRESS+PHONE+SSN+ACCT_NUM,995
+NAME+ADDRESS+PASSPORT+LOGIN_ID+ACCT_NUM,973
+DOB+ADDRESS+PHONE+SSN+PASSPORT+ACCT_NUM,967
+NAME+DOB+ADDRESS+PASSPORT+LOGIN_ID,963
+PNAME+ADDRESS+SSN+PASSPORT+LOGIN_ID,955
+PNAME+ADDRESS+PHONE+SSN+DRLIC+LOGIN_ID+ACCT_NUM,935
+PNAME+DOB+ADDRESS+PHONE+DRLIC+LOGIN_ID,927
+NAME+DOB+ADDRESS+SSN+PASSPORT+LOGIN_ID,909
+PNAME+DOB+ADDRESS+PHONE+SSN+DRLIC+LOGIN_ID,907
+PNAME+ADDRESS+PASSPORT+LOGIN_ID,906
+NAME+ADDRESS+SSN+PASSPORT+LOGIN_ID+ACCT_NUM,905
+SURNAME+DOB+ADDRESS+PHONE+SSN+DRLIC,905
+NAME+DOB+ADDRESS+DRLIC+PASSPORT+ACCT_NUM,904
+PNAME+ADDRESS+DRLIC+PASSPORT+ACCT_NUM,883
+NAME+DOB+PHONE+DRLIC+LOGIN_ID+ACCT_NUM,867
+PNAME+ADDRESS+SSN+DRLIC+PASSPORT+ACCT_NUM,867
+PNAME+ADDRESS+PHONE+DRLIC+LOGIN_ID+ACCT_NUM,856
+PNAME+DOB+SSN+DRLIC+PASSPORT,848
+PNAME+DOB+ADDRESS+DRLIC+PASSPORT,836
+PNAME+DOB+PHONE+DRLIC+LOGIN_ID,832
+NAME+SSN+PASSPORT+LOGIN_ID+ACCT_NUM,824
+PNAME+PHONE+SSN+DRLIC+LOGIN_ID+ACCT_NUM,823
+NAME+DOB+ADDRESS+SSN+DRLIC+PASSPORT+ACCT_NUM,822
+PNAME+SSN+DRLIC+PASSPORT+ACCT_NUM,821
+NAME+DOB+PASSPORT+LOGIN_ID,812
+PNAME+SSN+PASSPORT+LOGIN_ID,812
+PNAME+PHONE+DRLIC+LOGIN_ID+ACCT_NUM,804
+NAME+DOB+SSN+PASSPORT+LOGIN_ID,804
+NAME+DOB+ADDRESS+PHONE+SSN+DRLIC+LOGIN_ID+ACCT_NUM,794
+NAME+PASSPORT+LOGIN_ID+ACCT_NUM,794
+PNAME+DOB+PHONE+SSN+DRLIC+LOGIN_ID,790
+NAME+DOB+ADDRESS+PHONE+PASSPORT+LOGIN_ID+ACCT_NUM,787
+PNAME+DOB+ADDRESS+SSN+DRLIC+PASSPORT,781
+DOB+ADDRESS+SSN+ACCT_NUM,754
+NAME+DOB+DRLIC+PASSPORT+ACCT_NUM,749
+PNAME+DOB+ADDRESS+PHONE+SSN+PASSPORT+LOGIN_ID,741
+PNAME+DOB+ADDRESS+PHONE+SSN+DRLIC+PASSPORT+ACCT_NUM,737
+SURNAME+DOB+ADDRESS+PHONE+SSN+PASSPORT,736
+NAME+ADDRESS+PHONE+DRLIC+PASSPORT+LOGIN_ID+ACCT_NUM,736
+PNAME+DOB+ADDRESS+PHONE+DRLIC+PASSPORT+ACCT_NUM,730
+PNAME+DOB+ADDRESS+LOGIN_ID+ACCT_NUM,730
+PNAME+ADDRESS+PHONE+SSN+PASSPORT+LOGIN_ID+ACCT_NUM,727
+NAME+DOB+SSN+DRLIC+PASSPORT+ACCT_NUM,726
+PNAME+DOB+ADDRESS+SSN+LOGIN_ID+ACCT_NUM,705
+PNAME+DOB+ADDRESS+PHONE+PASSPORT+LOGIN_ID,702
+DOB+ADDRESS+PHONE+SSN+DRLIC+PASSPORT,698
+PNAME+DOB+DRLIC+PASSPORT,690
+NAME+DOB+PHONE+SSN+DRLIC+LOGIN_ID+ACCT_NUM,690
+PNAME+DOB+LOGIN_ID+ACCT_NUM,688
+PNAME+DOB+SSN+LOGIN_ID+ACCT_NUM,677
+DOB+ADDRESS+PHONE+SSN+LOGIN_ID,677
+DOB+ADDRESS+SSN+DRLIC,676
+NAME+ADDRESS+DRLIC+PASSPORT+LOGIN_ID,675
+NAME+ADDRESS+SSN+DRLIC+PASSPORT+LOGIN_ID,668
+PNAME+ADDRESS+PHONE+PASSPORT+LOGIN_ID+ACCT_NUM,647
+PNAME+DOB+PHONE+PASSPORT+LOGIN_ID,641
+PNAME+PHONE+PASSPORT+LOGIN_ID+ACCT_NUM,627
+PNAME+DOB+PHONE+SSN+PASSPORT+LOGIN_ID,625
+PNAME+PHONE+SSN+PASSPORT+LOGIN_ID+ACCT_NUM,622
+NAME+DOB+PHONE+PASSPORT+LOGIN_ID+ACCT_NUM,622
+DOB+PHONE+SSN+DRLIC+ACCT_NUM,619
+NAME+DOB+ADDRESS+PHONE+SSN+PASSPORT+LOGIN_ID+ACCT_NUM,618
+SURNAME+DOB+ADDRESS+SSN,601
+PNAME+DOB+PHONE+SSN+DRLIC+PASSPORT+ACCT_NUM,594
+PNAME+DOB+PHONE+DRLIC+PASSPORT+ACCT_NUM,583
+NAME+DRLIC+PASSPORT+LOGIN_ID,562
+NAME+SSN+DRLIC+PASSPORT+LOGIN_ID,557
+NAME+DOB+ADDRESS+DRLIC+LOGIN_ID+ACCT_NUM,550
+NAME+DOB+ADDRESS+PHONE+DRLIC+PASSPORT+LOGIN_ID,548
+DOB+ADDRESS+SSN+PASSPORT,547
+PNAME+ADDRESS+SSN+DRLIC+LOGIN_ID+ACCT_NUM,537
+NAME+DOB+PHONE+SSN+PASSPORT+LOGIN_ID+ACCT_NUM,536
+SURNAME+DOB+PHONE+SSN+ACCT_NUM,532
+NAME+PHONE+DRLIC+PASSPORT+LOGIN_ID+ACCT_NUM,509
+PNAME+ADDRESS+DRLIC+LOGIN_ID+ACCT_NUM,503
+PNAME+DOB+ADDRESS+DRLIC+LOGIN_ID,491
+PNAME+DOB+ADDRESS+SSN+DRLIC+LOGIN_ID,481
+DOB+PHONE+SSN+PASSPORT+ACCT_NUM,479
+PNAME+DOB+SSN+DRLIC+LOGIN_ID,479
+PNAME+ADDRESS+PHONE+SSN+DRLIC+PASSPORT+LOGIN_ID,478
+NAME+DOB+PHONE+DRLIC+PASSPORT+LOGIN_ID,475
+SURNAME+DOB+PHONE+SSN+DRLIC,469
+PNAME+ADDRESS+PHONE+DRLIC+PASSPORT+LOGIN_ID,468
+PNAME+DOB+DRLIC+LOGIN_ID,467
+PNAME+SSN+DRLIC+LOGIN_ID+ACCT_NUM,464
+NAME+DOB+DRLIC+LOGIN_ID+ACCT_NUM,451
