,62080292
+PNAME+ADDRESS+PHONE+ACCT_NUM,228889
+NAME+ACCT_NUM,221339
+PNAME+ADDRESS+PHONE+SSN+DRLIC,220050
+NAME+ADDRESS+SSN+PASSPORT,217431
+NAME+DOB+ADDRESS+SSN+ACCT_NUM,209888
+NAME+DOB+ADDRESS,209035
+NAME+ADDRESS+DRLIC,198531
+NAME+ADDRESS+PHONE+SSN+DRLIC+PASSPORT,193441
+NAME+SSN+DRLIC,193372
+PNAME+DOB+PHONE+SSN,192532
+NAME+PHONE+SSN+PASSPORT+ACCT_NUM,190091
+PNAME+PHONE+ACCT_NUM,182613
+NAME+DOB+PHONE+SSN+PASSPORT,180417
+NAME+DOB+PHONE+DRLIC,179974
+NAME+PHONE+DRLIC+ACCT_NUM,178996
+NAME+DOB+ADDRESS+PHONE+DRLIC+ACCT_NUM,171684
+PNAME+DOB+ADDRESS+PHONE+SSN+ACCT_NUM,171465
+NAME+DOB+ADDRESS+ACCT_NUM,170860
+PNAME+ADDRESS+PHONE+SSN+PASSPORT,169770
+NAME+DOB+ADDRESS+PHONE+SSN+DRLIC+ACCT_NUM,166210
+NAME+ADDRESS+PHONE+DRLIC+PASSPORT,162230
+PNAME+PHONE+SSN+DRLIC,158642
+NAME+ADDRESS+SSN+DRLIC+ACCT_NUM,155414
+PNAME+SSN,155009
+NAME+ADDRESS+PASSPORT,146796
+NAME+DOB+ADDRESS+SSN+DRLIC,145980
+NAME+SSN+PASSPORT,144337
+PNAME+ADDRESS+SSN+ACCT_NUM,139950
+NAME+PHONE+PASSPORT+ACCT_NUM,138046
+NAME+DOB+PHONE+PASSPORT,137703
+NAME+DOB+SSN+ACCT_NUM,137485
+NAME+DOB+ADDRESS+PHONE+PASSPORT+ACCT_NUM,135553
+PNAME+DOB+ADDRESS+PHONE,134229
+NAME+PHONE+SSN+DRLIC+PASSPORT,133275
+PNAME+DOB+ADDRESS+PHONE+ACCT_NUM,131863
+NAME+DOB+ADDRESS+PHONE+SSN+PASSPORT+ACCT_NUM,129644
+PNAME+ADDRESS+PHONE+SSN+DRLIC+ACCT_NUM,125604
+NAME+ADDRESS+SSN+PASSPORT+ACCT_NUM,121061
+PNAME+PHONE+SSN+PASSPORT,119594
+PNAME+DOB+ADDRESS+SSN,118872
+PNAME+DOB+ADDRESS+PHONE+SSN+DRLIC,117072
+NAME+DOB+ACCT_NUM,116478
+PNAME+DOB+PHONE+SSN+ACCT_NUM,115983
+NAME+DOB+ADDRESS+SSN+PASSPORT,115802
+PNAME+SSN+ACCT_NUM,115619
+NAME+DOB+PHONE+SSN+DRLIC+ACCT_NUM,114629
+NAME+DOB+ADDRESS+DRLIC,113952
+NAME+ADDRESS+DRLIC+ACCT_NUM,113288
+PNAME+ADDRESS+ACCT_NUM,113258
+PNAME+ADDRESS+PHONE+PASSPORT,112156
+NAME+ADDRESS+PHONE+DRLIC+PASSPORT+ACCT_NUM,108898
+PNAME+ADDRESS+PHONE+DRLIC,108767
+NAME+DOB+PHONE+DRLIC+ACCT_NUM,107477
+NAME+SSN+DRLIC+ACCT_NUM,105743
+NAME+DOB,103706
+PNAME+ADDRESS+PHONE+SSN+PASSPORT+ACCT_NUM,99169
+PNAME+ADDRESS+SSN+DRLIC,97069
+NAME+PHONE+DRLIC+PASSPORT,96746
+NAME+DOB+ADDRESS+PHONE+DRLIC+PASSPORT,96346
+NAME+DOB+SSN+DRLIC,96135
+NAME+DOB+ADDRESS+PHONE+SSN+DRLIC+PASSPORT,95169
+NAME+ADDRESS+PHONE+SSN+DRLIC+PASSPORT+ACCT_NUM,95113
+PNAME+DOB+PHONE+ACCT_NUM,94853
+NAME+DRLIC,92939
+PNAME+DOB+ADDRESS+PHONE+SSN+PASSPORT,92499
+PNAME+DOB+ADDRESS+PHONE+DRLIC,91396
+PNAME+ADDRESS+PHONE+DRLIC+ACCT_NUM,89997
+NAME+ADDRESS+PASSPORT+ACCT_NUM,89082
+NAME+DOB+PHONE+SSN+PASSPORT+ACCT_NUM,88916
+PNAME+DOB+SSN,87962
+NAME+DOB+ADDRESS+PASSPORT,87330
+PNAME+PHONE+SSN+DRLIC+ACCT_NUM,86909
+NAME+ADDRESS+SSN+DRLIC+PASSPORT,84383
+NAME+DOB+PHONE+PASSPORT+ACCT_NUM,83882
+NAME+PASSPORT,82360
+NAME+SSN+PASSPORT+ACCT_NUM,81324
+PNAME+DOB+PHONE+SSN+DRLIC,78754
+NAME+DOB+DRLIC,76649
+PNAME+PHONE+DRLIC,76641
+NAME+DOB+ADDRESS+SSN+DRLIC+ACCT_NUM,74291
+NAME+DOB+SSN+PASSPORT,73860
+PNAME+ADDRESS+SSN+PASSPORT,72929
+PNAME+DOB+ADDRESS+SSN+ACCT_NUM,71769
+NAME+DRLIC+ACCT_NUM,70337
+PNAME+SSN+DRLIC,69672
+PNAME+DOB+ADDRESS+PHONE+PASSPORT,68312
+PNAME+PHONE+PASSPORT,68263
+PNAME+ADDRESS+PHONE+PASSPORT+ACCT_NUM,68067
+NAME+DOB+ADDRESS+DRLIC+ACCT_NUM,68032
+PNAME+ADDRESS+PHONE+SSN+DRLIC+PASSPORT,67941
+PNAME+PHONE+SSN+PASSPORT+ACCT_NUM,67843
+PNAME+DOB+ADDRESS+PHONE+SSN+DRLIC+ACCT_NUM,67177
+NAME+PHONE+SSN+DRLIC+PASSPORT+ACCT_NUM,65356
+PNAME+DOB+PHONE+DRLIC,62811
+NAME+DOB+PHONE+SSN+DRLIC+PASSPORT,62641
+PNAME+PHONE+DRLIC+ACCT_NUM,62311
+NAME+ADDRESS+DRLIC+PASSPORT,61557
+DOB+ADDRESS+PHONE+SSN,61398
+PNAME+DOB+PHONE+SSN+PASSPORT,60821
+NAME+PHONE+DRLIC+PASSPORT+ACCT_NUM,58099
+PNAME+DOB+ADDRESS+ACCT_NUM,58021
+NAME+DOB+ADDRESS+SSN+PASSPORT+ACCT_NUM,57987
+NAME+DOB+PHONE+DRLIC+PASSPORT,57975
+NAME+SSN+DRLIC+PASSPORT,56842
+PNAME+SSN+PASSPORT,56254
+PNAME+DOB+ADDRESS+PHONE+DRLIC+ACCT_NUM,54832
+NAME+DOB+PASSPORT,54261
+PNAME+ADDRESS+SSN+DRLIC+ACCT_NUM,54247
+NAME+PASSPORT+ACCT_NUM,54081
+PNAME+DOB+SSN+ACCT_NUM,54022
+PNAME+DOB+ADDRESS+PHONE+SSN+PASSPORT+ACCT_NUM,53751
+NAME+DOB+ADDRESS+PASSPORT+ACCT_NUM,53216
+NAME+DOB+ADDRESS+PHONE+DRLIC+PASSPORT+ACCT_NUM,52573
+NAME+DOB+SSN+DRLIC+ACCT_NUM,51027
+PNAME+DOB+ADDRESS+SSN+DRLIC,49278
+PNAME+DOB+ACCT_NUM,48861
+PNAME+PHONE+PASSPORT+ACCT_NUM,47950
+PNAME+ADDRESS+PHONE+DRLIC+PASSPORT,47571
+PNAME+ADDRESS+DRLIC,46904
+PNAME+PHONE+SSN+DRLIC+PASSPORT,46793
+NAME+DOB+ADDRESS+PHONE+SSN+DRLIC+PASSPORT+ACCT_NUM,45384
+PNAME+DOB+PHONE+PASSPORT,44983
+NAME+DOB+DRLIC+ACCT_NUM,43806
+NAME+ADDRESS+SSN+DRLIC+PASSPORT+ACCT_NUM,43713
+PNAME+DOB+PHONE+SSN+DRLIC+ACCT_NUM,43043
+PNAME+SSN+DRLIC+ACCT_NUM,42953
+PNAME+DOB+ADDRESS+PHONE+PASSPORT+ACCT_NUM,42478
+PNAME+ADDRESS+PASSPORT,42178
+PNAME+ADDRESS+SSN+PASSPORT+ACCT_NUM,42120
+NAME+DOB+ADDRESS+SSN+DRLIC+PASSPORT,41567
+NAME+DOB+SSN+PASSPORT+ACCT_NUM,39973
+DOB+ADDRESS+PHONE+SSN+ACCT_NUM,39634
+PNAME+DOB+ADDRESS+DRLIC,39511
+PNAME+ADDRESS+DRLIC+ACCT_NUM,39017
+PNAME+DOB+ADDRESS+SSN+PASSPORT,38295
+NAME+ADDRESS+DRLIC+PASSPORT+ACCT_NUM,37869
+PNAME+DOB+SSN+DRLIC,37754
+PNAME+ADDRESS+PHONE+SSN+DRLIC+PASSPORT+ACCT_NUM,37295
+NAME+DOB+ADDRESS+DRLIC+PASSPORT,36974
+PNAME+DOB+ADDRESS+PHONE+SSN+DRLIC+PASSPORT,35624
+PNAME+DOB+PHONE+DRLIC+ACCT_NUM,35404
+NAME+DOB+PASSPORT+ACCT_NUM,34129
+PNAME+DOB+PHONE+SSN+PASSPORT+ACCT_NUM,34090
+DOB+ADDRESS+PHONE+SSN+DRLIC,33919
+NAME+DRLIC+PASSPORT,33560
+PNAME+SSN+PASSPORT+ACCT_NUM,32639
+NAME+DOB+PHONE+DRLIC+PASSPORT+ACCT_NUM,32312
+DOB+PHONE+SSN,32304
+NAME+SSN+DRLIC+PASSPORT+ACCT_NUM,30584
+PNAME+ADDRESS+PASSPORT+ACCT_NUM,30350
+PNAME+PHONE+DRLIC+PASSPORT,29558
+PNAME+DOB+ADDRESS+PHONE+DRLIC+PASSPORT,29519
+NAME+DOB+PHONE+SSN+DRLIC+PASSPORT+ACCT_NUM,29385
+PNAME+ADDRESS+SSN+DRLIC+PASSPORT,29159
+PNAME+ADDRESS+PHONE+DRLIC+PASSPORT+ACCT_NUM,28767
+PNAME+DOB+SSN+PASSPORT,28703
+PNAME+DOB+ADDRESS+PASSPORT,28462
+DOB+ADDRESS+PHONE+SSN+PASSPORT,28420
+PNAME+DOB+ADDRESS+SSN+DRLIC+ACCT_NUM,27736
+NAME+DOB+SSN+DRLIC+PASSPORT,27707
+PNAME+DOB+PHONE+PASSPORT+ACCT_NUM,27521
+SURNAME+DOB+ADDRESS+PHONE+SSN,26855
+PNAME+PHONE+SSN+DRLIC+PASSPORT+ACCT_NUM,24422
+DOB+ADDRESS+PHONE+SSN+DRLIC+ACCT_NUM,23804
+NAME+DOB+DRLIC+PASSPORT,23260
+PNAME+DOB+PHONE+SSN+DRLIC+PASSPORT,22582
+PNAME+DOB+ADDRESS+DRLIC+ACCT_NUM,22088
+PNAME+SSN+DRLIC+PASSPORT,21880
+NAME+DOB+ADDRESS+DRLIC+PASSPORT+ACCT_NUM,21285
+PNAME+DOB+ADDRESS+SSN+PASSPORT+ACCT_NUM,21203
+DOB+ADDRESS+PHONE+SSN+PASSPORT+ACCT_NUM,20552
+NAME+DRLIC+PASSPORT+ACCT_NUM,20453
+PNAME+DOB+ADDRESS+PHONE+SSN+DRLIC+PASSPORT+ACCT_NUM,20211
+PNAME+DOB+SSN+DRLIC+ACCT_NUM,20018
+NAME+DOB+ADDRESS+SSN+DRLIC+PASSPORT+ACCT_NUM,19825
+PNAME+DOB+DRLIC,19512
+PNAME+DOB+PHONE+DRLIC+PASSPORT,18872
+PNAME+ADDRESS+DRLIC+PASSPORT,18752
+SURNAME+DOB+ADDRESS+PHONE+SSN+ACCT_NUM,18233
+PNAME+PHONE+DRLIC+PASSPORT+ACCT_NUM,18230
+DOB+PHONE+SSN+ACCT_NUM,18063
+PNAME+DOB+ADDRESS+PHONE+DRLIC+PASSPORT+ACCT_NUM,17902
+PNAME+DOB+PASSPORT,17697
+PNAME+DOB+ADDRESS+PASSPORT+ACCT_NUM,17351
+PNAME+DOB+DRLIC+ACCT_NUM,16683
+DOB+PHONE+SSN+DRLIC,16210
+PNAME+ADDRESS+SSN+DRLIC+PASSPORT+ACCT_NUM,15960
+DOB+ADDRESS+SSN,15779
+PNAME+DOB+SSN+PASSPORT+ACCT_NUM,15595
+SURNAME+DOB+ADDRESS+PHONE+SSN+DRLIC,15221
+PNAME+DOB+ADDRESS+SSN+DRLIC+PASSPORT,14712
+DOB+ADDRESS+PHONE+SSN+DRLIC+PASSPORT,14287
+NAME+DOB+SSN+DRLIC+PASSPORT+ACCT_NUM,14014
+NAME+DOB+DRLIC+PASSPORT+ACCT_NUM,13404
+PNAME+DOB+PASSPORT+ACCT_NUM,13220
+SURNAME+DOB+ADDRESS+PHONE+SSN+PASSPORT,13187
+DOB+PHONE+SSN+PASSPORT,12971
+SURNAME+DOB+PHONE+SSN,12712
+PNAME+DOB+ADDRESS+DRLIC+PASSPORT,12207
+PNAME+DOB+PHONE+SSN+DRLIC+PASSPORT+ACCT_NUM,12064
+PNAME+SSN+DRLIC+PASSPORT+ACCT_NUM,11901
+PNAME+ADDRESS+DRLIC+PASSPORT+ACCT_NUM,11856
+DOB+ADDRESS+PHONE+SSN+DRLIC+PASSPORT+ACCT_NUM,10976
+PNAME+DOB+PHONE+DRLIC+PASSPORT+ACCT_NUM,10832
+PNAME+DOB+SSN+DRLIC+PASSPORT,10802
+SURNAME+DOB+ADDRESS+PHONE+SSN+DRLIC+ACCT_NUM,10475
+DOB+PHONE+SSN+DRLIC+ACCT_NUM,9807
+SURNAME+DOB+ADDRESS+PHONE+SSN+PASSPORT+ACCT_NUM,9411
+DOB+ADDRESS+SSN+ACCT_NUM,8595
+DOB+PHONE+SSN+PASSPORT+ACCT_NUM,8208
+PNAME+DOB+ADDRESS+SSN+DRLIC+PASSPORT+ACCT_NUM,8001
+DOB+ADDRESS+SSN+DRLIC,7957
+PNAME+DOB+DRLIC+PASSPORT,7932
+SURNAME+DOB+PHONE+SSN+ACCT_NUM,7731
+PNAME+DOB+ADDRESS+DRLIC+PASSPORT+ACCT_NUM,7004
+SURNAME+DOB+PHONE+SSN+DRLIC,6645
+SURNAME+DOB+ADDRESS+PHONE+SSN+DRLIC+PASSPORT,6495
+DOB+ADDRESS+SSN+PASSPORT,6377
+SURNAME+DOB+ADDRESS+SSN,6171
+DOB+PHONE+SSN+DRLIC+PASSPORT,5800
+SURNAME+DOB+PHONE+SSN+PASSPORT,5391
+PNAME+DOB+SSN+DRLIC+PASSPORT+ACCT_NUM,5341
+PNAME+DOB+DRLIC+PASSPORT+ACCT_NUM,4978
+DOB+ADDRESS+SSN+DRLIC+ACCT_NUM,4888
+SURNAME+DOB+ADDRESS+PHONE+SSN+DRLIC+PASSPORT+ACCT_NUM,4730
+SURNAME+DOB+PHONE+SSN+DRLIC+ACCT_NUM,4313
+NAME+ADDRESS+PHONE+SSN+LOGIN_ID,4107
+DOB+ADDRESS+SSN+PASSPORT+ACCT_NUM,4040
+DOB+PHONE+SSN+DRLIC+PASSPORT+ACCT_NUM,3974
+SURNAME+DOB+PHONE+SSN+PASSPORT+ACCT_NUM,3763
+SURNAME+DOB+ADDRESS+SSN+ACCT_NUM,3675
+SURNAME+DOB+ADDRESS+SSN+DRLIC,3190
+DOB+ADDRESS+SSN+DRLIC+PASSPORT,2962
+LIKELY_NAME+ADDRESS+PHONE+SSN,2837
+NAME+PHONE+SSN+LOGIN_ID,2793
+NAME+ADDRESS+PHONE+LOGIN_ID,2774
+SURNAME+DOB+ADDRESS+SSN+PASSPORT,2693
+SURNAME+DOB+PHONE+SSN+DRLIC+PASSPORT,2619
+NAME+ADDRESS+PHONE+SSN+LOGIN_ID+ACCT_NUM,2196
+DOB+ADDRESS+SSN+DRLIC+PASSPORT+ACCT_NUM,2172
+NAME+DOB+ADDRESS+PHONE+SSN+LOGIN_ID,2120
+SURNAME+DOB+ADDRESS+SSN+DRLIC+ACCT_NUM,2050
+NAME+PHONE+LOGIN_ID,1920
+SURNAME+DOB+ADDRESS+SSN+PASSPORT+ACCT_NUM,1919
+NAME+DOB+ADDRESS+PHONE+LOGIN_ID,1853
+SURNAME+DOB+PHONE+SSN+DRLIC+PASSPORT+ACCT_NUM,1768
+NAME+ADDRESS+PHONE+LOGIN_ID+ACCT_NUM,1742
+NAME+ADDRESS+SSN+LOGIN_ID,1721
+NAME+ADDRESS+PHONE+SSN+DRLIC+LOGIN_ID,1547
+NAME+PHONE+SSN+LOGIN_ID+ACCT_NUM,1516
+NAME+DOB+PHONE+SSN+LOGIN_ID,1444
+LIKELY_NAME+ADDRESS+PHONE+SSN+ACCT_NUM,1440
+LIKELY_NAME+DOB+ADDRESS+PHONE+SSN,1406
+LIKELY_NAME+ADDRESS+PHONE+ACCT_NUM,1303
+NAME+ADDRESS+PHONE+DRLIC+LOGIN_ID,1302
+PNAME+ADDRESS+PHONE+SSN+LOGIN_ID,1278
+SURNAME+DOB+ADDRESS+SSN+DRLIC+PASSPORT,1255
+NAME+ADDRESS+PHONE+SSN+PASSPORT+LOGIN_ID,1216
+NAME+ADDRESS+LOGIN_ID,1186
+NAME+SSN+LOGIN_ID,1184
+NAME+DOB+PHONE+LOGIN_ID,1146
+LIKELY_NAME+DOB+ADDRESS+PHONE,1115
+LIKELY_NAME+ADDRESS+PHONE+SSN+DRLIC,1110
+NAME+PHONE+SSN+DRLIC+LOGIN_ID,1103
+NAME+DOB+ADDRESS+PHONE+LOGIN_ID+ACCT_NUM,1032
+NAME+ADDRESS+SSN+LOGIN_ID+ACCT_NUM,1031
+NAME+PHONE+LOGIN_ID+ACCT_NUM,1016
+NAME+ADDRESS+PHONE+PASSPORT+LOGIN_ID,1007
+PNAME+PHONE+SSN+LOGIN_ID,968
+SURNAME+DOB+ADDRESS+SSN+DRLIC+PASSPORT+ACCT_NUM,940
+NAME+DOB+ADDRESS+PHONE+SSN+LOGIN_ID+ACCT_NUM,937
+NAME+LOGIN_ID,909
+NAME+DOB+ADDRESS+SSN+LOGIN_ID,907
+LIKELY_NAME+DOB+ADDRESS+PHONE+SSN+ACCT_NUM,895
+NAME+PHONE+SSN+PASSPORT+LOGIN_ID,867
+PNAME+ADDRESS+PHONE+LOGIN_ID,862
+NAME+ADDRESS+PHONE+DRLIC+LOGIN_ID+ACCT_NUM,846
+LIKELY_NAME+ADDRESS+PHONE+SSN+PASSPORT,826
+PNAME+DOB+ADDRESS+PHONE+SSN+LOGIN_ID,766
+PNAME+ADDRESS+PHONE+SSN+LOGIN_ID+ACCT_NUM,755
+NAME+PHONE+DRLIC+LOGIN_ID,752
+PNAME+PHONE+LOGIN_ID,750
+NAME+DOB+ADDRESS+LOGIN_ID,748
+NAME+DOB+PHONE+SSN+LOGIN_ID+ACCT_NUM,698
+NAME+DOB+ADDRESS+PHONE+SSN+DRLIC+LOGIN_ID,695
+NAME+DOB+ADDRESS+PHONE+DRLIC+LOGIN_ID,693
+NAME+DOB+PHONE+LOGIN_ID+ACCT_NUM,689
+LIKELY_NAME+DOB+PHONE+SSN,688
+NAME+ADDRESS+PHONE+PASSPORT+LOGIN_ID+ACCT_NUM,678
+NAME+ADDRESS+PHONE+SSN+DRLIC+LOGIN_ID+ACCT_NUM,671
+LIKELY_NAME+DOB+ADDRESS+PHONE+ACCT_NUM,666
+NAME+ADDRESS+LOGIN_ID+ACCT_NUM,664
+NAME+SSN+LOGIN_ID+ACCT_NUM,645
+LIKELY_NAME+ADDRESS+PHONE+PASSPORT,637
+NAME+DOB+ADDRESS+PHONE+PASSPORT+LOGIN_ID,620
+LIKELY_NAME+ADDRESS+PHONE+SSN+DRLIC+ACCT_NUM,620
+NAME+ADDRESS+SSN+DRLIC+LOGIN_ID,616
+NAME+DOB+SSN+LOGIN_ID,611
+PNAME+ADDRESS+SSN+LOGIN_ID,605
+LIKELY_NAME+ADDRESS+PHONE+DRLIC,580
+LIKELY_NAME+DOB+ADDRESS+PHONE+SSN+DRLIC,575
+NAME+ADDRESS+PHONE+SSN+PASSPORT+LOGIN_ID+ACCT_NUM,573
+PNAME+DOB+ADDRESS+PHONE+LOGIN_ID,555
+NAME+PHONE+PASSPORT+LOGIN_ID,545
+LIKELY_NAME+ADDRESS+PHONE+SSN+PASSPORT+ACCT_NUM,544
+PNAME+SSN+LOGIN_ID,540
+LIKELY_NAME+DOB+PHONE+SSN+ACCT_NUM,539
+PNAME+PHONE+SSN+LOGIN_ID+ACCT_NUM,526
+NAME+DOB+ADDRESS+PHONE+SSN+PASSPORT+LOGIN_ID,518
+NAME+DOB+PHONE+SSN+DRLIC+LOGIN_ID,517
+NAME+DOB+PHONE+DRLIC+LOGIN_ID,510
+NAME+PHONE+SSN+DRLIC+LOGIN_ID+ACCT_NUM,509
+LIKELY_NAME+ADDRESS+PHONE+DRLIC+ACCT_NUM,490
+PNAME+DOB+PHONE+SSN+LOGIN_ID,489
+LIKELY_NAME+DOB+ADDRESS+PHONE+SSN+PASSPORT,486
+PNAME+ADDRESS+PHONE+SSN+DRLIC+LOGIN_ID,486
+NAME+ADDRESS+SSN+PASSPORT+LOGIN_ID,481
+NAME+ADDRESS+DRLIC+LOGIN_ID,471
+LIKELY_NAME+DOB+ADDRESS+PHONE+DRLIC,471
+NAME+ADDRESS+PHONE+DRLIC+PASSPORT+LOGIN_ID,462
+NAME+PHONE+DRLIC+LOGIN_ID+ACCT_NUM,448
+SURNAME+ADDRESS+PHONE+SSN,446
+PNAME+ADDRESS+LOGIN_ID,440
+NAME+SSN+DRLIC+LOGIN_ID,436
+PNAME+ADDRESS+PHONE+LOGIN_ID+ACCT_NUM,434
+NAME+ADDRESS+PHONE+SSN+DRLIC+PASSPORT+LOGIN_ID,434
+NAME+DOB+ADDRESS+SSN+LOGIN_ID+ACCT_NUM,428
+NAME+DOB+LOGIN_ID,427
+NAME+DOB+ADDRESS+LOGIN_ID+ACCT_NUM,423
+NAME+PHONE+SSN+PASSPORT+LOGIN_ID+ACCT_NUM,417
+NAME+LOGIN_ID+ACCT_NUM,411
+NAME+DOB+PHONE+PASSPORT+LOGIN_ID,406
+NAME+ADDRESS+SSN+DRLIC+LOGIN_ID+ACCT_NUM,402
+NAME+DOB+ADDRESS+PHONE+DRLIC+LOGIN_ID+ACCT_NUM,399
+PNAME+ADDRESS+PHONE+SSN+PASSPORT+LOGIN_ID,398
+PNAME+DOB+PHONE+LOGIN_ID,398
+PNAME+DOB+ADDRESS+PHONE+SSN+LOGIN_ID+ACCT_NUM,394
+LIKELY_NAME+DOB+ADDRESS+SSN,391
+LIKELY_NAME+ADDRESS+PHONE+SSN+DRLIC+PASSPORT,389
+PNAME+PHONE+SSN+DRLIC+LOGIN_ID,373
+LIKELY_NAME+ADDRESS+PHONE+PASSPORT+ACCT_NUM,368
+NAME+PHONE+PASSPORT+LOGIN_ID+ACCT_NUM,368
+NAME+SSN+PASSPORT+LOGIN_ID,361
+PNAME+ADDRESS+PHONE+DRLIC+LOGIN_ID,359
+LIKELY_NAME+DOB+ADDRESS+PHONE+SSN+PASSPORT+ACCT_NUM,357
+LIKELY_NAME+DOB+ADDRESS+PHONE+PASSPORT,357
+NAME+ADDRESS+PASSPORT+LOGIN_ID,355
+LIKELY_NAME+DOB+ADDRESS+SSN+ACCT_NUM,354
+NAME+DOB+PHONE+SSN+PASSPORT+LOGIN_ID,353
+LIKELY_NAME+DOB+ADDRESS+PHONE+SSN+DRLIC+ACCT_NUM,351
+LIKELY_NAME+DOB+SSN,338
+NAME+DOB+ADDRESS+PHONE+PASSPORT+LOGIN_ID+ACCT_NUM,333
+PNAME+PHONE+LOGIN_ID+ACCT_NUM,329
+PNAME+DOB+ADDRESS+SSN+LOGIN_ID,328
+NAME+DOB+ADDRESS+SSN+DRLIC+LOGIN_ID,323
+NAME+DOB+SSN+LOGIN_ID+ACCT_NUM,321
+PNAME+ADDRESS+SSN+LOGIN_ID+ACCT_NUM,317
+NAME+ADDRESS+PHONE+DRLIC+PASSPORT+LOGIN_ID+ACCT_NUM,316
+NAME+ADDRESS+DRLIC+LOGIN_ID+ACCT_NUM,314
+PNAME+ADDRESS+PHONE+PASSPORT+LOGIN_ID,311
+PNAME+PHONE+SSN+PASSPORT+LOGIN_ID,310
+SURNAME+ADDRESS+PHONE+SSN+ACCT_NUM,306
+LIKELY_NAME+DOB+PHONE+SSN+DRLIC,302
+PNAME+DOB+ADDRESS+PHONE+SSN+DRLIC+LOGIN_ID,301
+PNAME+DOB+ADDRESS+PHONE+LOGIN_ID+ACCT_NUM,300
+NAME+DOB+ADDRESS+DRLIC+LOGIN_ID,299
+NAME+PHONE+SSN+DRLIC+PASSPORT+LOGIN_ID,291
+LIKELY_NAME+DOB+ADDRESS+PHONE+DRLIC+ACCT_NUM,288
+PNAME+ADDRESS+PHONE+SSN+DRLIC+LOGIN_ID+ACCT_NUM,282
+NAME+ADDRESS+SSN+PASSPORT+LOGIN_ID+ACCT_NUM,277
+NAME+DOB+ADDRESS+PHONE+SSN+DRLIC+LOGIN_ID+ACCT_NUM,270
+NAME+DOB+ADDRESS+PASSPORT+LOGIN_ID,268
+PNAME+SSN+LOGIN_ID+ACCT_NUM,268
+PNAME+PHONE+DRLIC+LOGIN_ID,265
+LIKELY_NAME+ADDRESS+PHONE+DRLIC+PASSPORT,265
+NAME+DOB+LOGIN_ID+ACCT_NUM,262
+NAME+DOB+PHONE+DRLIC+LOGIN_ID+ACCT_NUM,255
+LIKELY_NAME+DOB+PHONE+SSN+PASSPORT,253
+NAME+SSN+DRLIC+LOGIN_ID+ACCT_NUM,253
+NAME+DRLIC+LOGIN_ID,248
+PNAME+DOB+PHONE+SSN+LOGIN_ID+ACCT_NUM,248
+NAME+DOB+ADDRESS+SSN+PASSPORT+LOGIN_ID,246
+PNAME+ADDRESS+SSN+DRLIC+LOGIN_ID,236
+PNAME+DOB+ADDRESS+PHONE+SSN+PASSPORT+LOGIN_ID,235
+NAME+PASSPORT+LOGIN_ID,232
